ID,Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos_Involucrados,Heridos,Accidente _con,Heridos _SI/NO ,Muertes,Clase_Accidente
281,10/16/2023 0:00,A001602223,CARRERA 23 N . 27-33 VILLA CLAUDIA BARRIO,No registra,1,3,HERIDOS,1,NO APLICA,ATROPELLO
282,10/19/2023 0:00,A001602224,AVENIDA 23 N 33-25   SIN INFORMACIÓN DEL BARRIO,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
283,10/21/2023 0:00,A001602225,CALLE 15 CARRERA 17   CENTRO,CENTRO,2,1,HERIDOS,1,NO APLICA,CHOQUE
284,10/22/2023 0:00,A001602226,AVENIDA 23 CALLE  11   SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
285,10/23/2023 0:00,A001602227,DIAGONAL 15 CARRRA  26A   SIN INFORMACIÓN DEL BARRIO,No registra,1,2,HERIDOS,1,NO APLICA,OTRO
286,10/23/2023 0:00,A001602228,KILOMETRO 24+450 MTS     VÍA ACACÍAS-DINAMARCA,VÍA ACACÍAS-DINAMARCA,2,3,HERIDOS,1,NO APLICA,CHOQUE
287,10/29/2023 0:00,A001602229,CALLE 19 CARRERA 16   SAN CRISTOBAL,SAN CRISTOBAL,1,1,HERIDOS,1,NO APLICA,ATROPELLO
288,10/29/2023 0:00,A001602230,KILOMETRO 1 VIA CRUCE VAQUEROS CHICHIMENE    LOMA DE TIGRE,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
289,10/31/2023 0:00,A001602231,CALLE 14 N 26 -29  BARRIO SAN JOSE,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
290,10/31/2023 0:00,A001602232,CALLE 14 CARRERA 23   COOPERATIVO,COOPERATIVO,1,1,MUERTOS,0,1,ATROPELLO
291,11/1/2023 0:00,A001602233,CALLE 18 CARRERA 19   MANCERA,MANCERA,2,1,HERIDOS,1,NO APLICA,CHOQUE
292,11/2/2023 0:00,A001602234,KILOMETRO 3 VIA ACACIAS  DINAMARCA,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
293,11/4/2023 0:00,A001602236,CARRERA 33 CALLE 16C   BACHUE,BACHUE,2,2,HERIDOS,1,NO APLICA,CHOQUE
294,11/3/2023 0:00,A001602235,CALLE 10A CARRERA 28   SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
295,11/6/2023 0:00,A001602237,CARRERA 17 N 16-32    SIN INFORMACIÓN DEL BARRIO,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
296,11/18/2023 0:00,A001602240,AVENIDA 23 N 27B-30    SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
297,11/16/2023 0:00,A001602238,KILOMETRO 52+260 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,5,HERIDOS,1,NO APLICA,CHOQUE
298,11/18/2023 0:00,A001602239,CALLE 14 N. 18-56    CENTRO,CENTRO,2,1,HERIDOS,1,NO APLICA,CHOQUE
299,11/27/2023 0:00,A001602241,CALLE 14 CARRERA 33   SIN INFORMACIÓN DEL BARRIO,No registra,2,0,MUERTOS,0,1,CHOQUE
300,11/27/2023 0:00,A001602242,CALLE 19 CARRERA 18   MANCERA,MANCERA,2,1,HERIDOS,1,NO APLICA,CHOQUE
